cod_ine;ccaa_acumula2;sub_region_1_mob;ccaa_montera34
0;No consta;;
1;Andalucía;Andalusia;Andalucía
2;Aragón;Aragon;Aragón
3;Asturias;Asturias;Asturias, Principado de
4;Baleares;Balearic Islands;Balears, Illes
5;Canarias;Canary Islands;Canarias
6;Cantabria;Cantabria;Cantabria
7;Castilla y León;Castile-La Mancha;Castilla - La Mancha
8;Castilla La Mancha;Castile and León;Castilla y León
9;Cataluña;Catalonia;Cataluña
10;C. Valenciana;Valencian Community;Comunitat Valenciana
11;Extremadura;Extremadura;Extremadura
12;Galicia;Galicia;Galicia
13;Madrid;Community of Madrid;Madrid, Comunidad de
14;Murcia;Region of Murcia;Murcia, Región de
15;Navarra;Navarre;Navarra
16;País Vasco;Basque Country;País Vasco
17;La Rioja;La Rioja;Rioja, La
18;Ceuta;Ceuta;Ceuta
19;Melilla;Melilla;Melilla
